word,clue
healthy lifestyle,a way of living that keeps you healthy including diet and exercise
balanced diet,eating the right kinds of food in the right amounts
eating habits,the way someone usually eats for example their daily food routine
physical activity,movement or exercise that helps keep your body fit
home cooked meals,food prepared at home not bought from a restaurant
food poisoning,illness caused by bad food often from bacteria
processed food,food changed from its natural form often factory made
burn calories,to use energy through activity especially exercise
eat out,to eat at a restaurant instead of at home
lose weight,to become lighter especially by losing body fat
fast food,food that is prepared and served quickly
junk food,food that is unhealthy but convenient
snack on,to eat small amounts of food between meals
hydrate,to drink enough water especially during exercise
comfort food,food that makes you feel relaxed or happy
skip meals,to not eat regular meals often because you are busy
gain weight,to become heavier over time
sugary drinks,drinks with a lot of sugar such as soda
eating routine,a regular pattern of meals during the day
healthy choice,a food or habit that is good for your body
