word,clue
hang out,to spend time relaxing with friends
meet up,to gather together with someone at a place
make plans,to arrange to do something in the future
invite over,to ask someone to come to your home
free time,time when you are not busy or working
get along with,to have a good relationship with someone
lose touch,to stop communicating with someone over time
catch up with,to talk with someone you have not seen for a long time
grab a bite,to eat something quickly often with friends
watch a movie,to view a film for fun
chill out,to relax completely after being busy or stressed
have a blast,to have a lot of fun at a party or event
go out,to leave home for social reasons
join in,to take part in an activity with others
socialize,to spend time interacting with other people
spend time,to use your time doing an activity
play video games,to play games on a computer or console
outgoing,friendly and enjoying being with other people
introverted,quiet and preferring time alone
bored,feeling uninterested with nothing to do
